ID.o,S Group,C Group,Price, Volume, TradeTime, EventTime, Offer, Bid, Buyer, Seller, buyerID, sellerID, Realized Tot , R per Tr ,UnReal Q,U per tr Q, Unreal Tot $ ,User Volu,User%ofTotalVolu,Total Volu,TradeCount,1st HourVolu,1stHourUserVolu,1stHour?,last HourVolu,lastHourUserVolu,lastHour?,1stHR_Usr/1SThR_Tot,lastH-Usr/LAST-HR-Tot,1stHR_Usr/TOT_vol,lastH-Usr/TOT_vol,VWAP,Price*V,(p2/p1)-1,ln(p2/p1),Net,User Buy,User Sell,User Vol Traded (Buy+Sell),Qualify,Gender,"Based on the INFORMATION provided, the best strategy is to:",Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q26,Q27,Q45,Q28,Q47,Q29,Q30,SUM
S9C15TS,S9,C15TS,21,4,12:58:07,12491,20.5,20.4,Server,Server,10,0,-1245.70009,-84,58,4,1218,882,25.11%,3512,58,1022,130,0,3108,330,1,12.72%,10.62%,0.037015945,3.02E-05,20.29678249,84,0,0.00%,-27.70009,470,412,882,T,F,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),3,3,3,3,3,4,4,1,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,3,3,4,0,106
S9C1515,S9,C1515,21,11,12:53:01,12186,20.9,20.4,Server,Server,0,0,-20,0,0,0,0,200,7.16%,2793,16,828,20,0,1936,15,1,2.42%,0.77%,0.007160759,2.77E-06,20.32445402,231,0,0.00%,-20,100,100,200,T,M,SELL FIRST AND THEN BUY LATER to make profit (when Stock price is going to DECREASE towards the end of the day),4,3,3,4,3,3,3,3,4,3,4,4,4,4,4,3,3,3,3,3,4,3,4,4,4,4,3,4,3,3,0,104
S9C1415,S9,C1415,21,18,12:58:32,12515,20.9,20.4,Server,Server,0,0,1535.5,0,-75,0,-1575,135,4.28%,3156,11,828,20,0,2932,95,1,2.42%,3.24%,0.006337136,1.03E-05,20.3604246,378,0,0.00%,-39.5,30,105,135,T,F,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),4,2,4,2,4,4,5,2,4,2,5,4,2,2,5,4,4,4,3,5,3,3,5,5,4,5,5,5,4,4,0,114
S9C1215,S9,C1215,20.9,27,12:57:53,12474,20.9,20.800001,Server,Server,0,0,3238.200094,0,-162,0,-3385.8,730,23.19%,3148,39,788,5,0,2836,585,1,0.63%,20.63%,0.00158831,6.55E-05,20.37121987,564.3,0.00478,0.48%,-147.599906,284,446,730,T,M,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),2,1,4,4,3,4,2,2,4,4,4,4,3,2,5,5,5,5,5,5,4,3,2,4,4,4,4,4,3,4,0,109
S9C115T,S9,C115T,21,11,12:57:43,12466,20.6,20.4,Server,Server,0,0,1249.00005,0,-60,0,-1260,60,2.16%,2778,2,788,0,0,2256,60,1,0.00%,2.66%,0,9.57E-06,20.36724267,231,0.00476,0.48%,-10.99995,0,60,60,T,F,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),1,4,5,4,1,5,4,3,5,4,5,5,4,3,4,4,4,3,3,4,3,3,5,4,5,5,4,5,4,3,0,116
S9C1115,S9,C1115,20.6,19,12:56:36,12399,20.6,20.4,Server,Server,10,0,102.200025,-391.4,-7,19,-144.2,333,11.64%,2861,21,896,59,0,2170,169,1,6.58%,7.79%,0.02062216,2.72E-05,20.35256907,391.4,0,0.00%,-41.999975,163,170,333,T,M,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),4,2,4,4,4,4,4,2,5,5,4,4,4,1,4,1,1,4,4,4,4,1,4,3,3,4,4,3,4,3,0,102
S9C1015,S9,C1015,20.7,10,12:57:20,12446,21,20.7,Server,Server,0,10,1121,207,-55,-10,-1138.5,115,4.02%,2864,7,838,25,0,2318,60,1,2.98%,2.59%,0.00872905,9.04E-06,20.35359639,207,0.00966,0.96%,-17.5,30,85,115,T,M,SELL FIRST AND THEN BUY LATER to make profit (when Stock price is going to DECREASE towards the end of the day),2,4,2,5,1,5,2,3,1,2,5,4,4,5,5,5,4,5,4,4,5,2,2,5,5,4,4,2,2,4,1,108
S7C914T,S7,C914T,21,1,12:57:49,12471,20.5,20.300001,Server,Server,0,0,429.600015,0,-20,0,-420,200,6.82%,2933,15,948,80,0,2464,60,1,8.44%,2.44%,0.027275827,8.30E-06,20.31329701,21,-0.02381,-2.41%,9.600015,90,110,200,T,M,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),5,2,4,5,2,3,3,1,4,4,4,4,4,1,4,3,3,3,3,5,3,3,5,4,5,5,4,4,4,3,0,107
S7C814T,S7,C814T,21,7,12:57:56,12478,20.7,20.6,Server,Server,0,0,4562,0,-231,0,-4851,577,17.97%,3211,33,1656,337,0,2206,38,1,20.35%,1.72%,0.104951728,5.36E-06,20.26652139,147,-0.01429,-1.44%,-289,173,404,577,T,F,SELL FIRST AND THEN BUY LATER to make profit (when Stock price is going to DECREASE towards the end of the day),1,3,4,3,1,2,4,1,4,4,5,2,4,2,4,4,2,4,2,4,5,2,4,4,4,4,4,4,4,2,0,97
S7C714T,S7,C714T,21,76,12:59:56,12599,21,20.9,Server,Server,10,10,6964.300187,0,-339,0,-7119,1059,32.84%,3225,38,1124,99,0,2620,788,1,8.81%,30.08%,0.030697674,9.33E-05,20.30877528,1596,0,0.00%,-154.699813,360,699,1059,T,M,SELL FIRST AND THEN BUY LATER to make profit (when Stock price is going to DECREASE towards the end of the day),3,3,4,4,2,3,3,3,4,4,4,4,5,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,0,112
S7C614T,S7,C614T,21,11,12:52:47,12172,20.9,20.4,Server,Server,0,0,4749.30005,0,-236,0,-4956,642,19.41%,3308,32,1178,105,0,2078,195,1,8.91%,9.38%,0.031741233,2.84E-05,20.22382116,231,0,0.00%,-206.69995,203,439,642,T,F,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),5,1,4,4,2,1,1,5,5,5,5,5,1,5,5,1,1,1,1,5,1,5,4,5,2,5,5,5,5,5,0,105
S7C514T,S7,C514T,21,5,12:57:52,12478,20.6,20.4,Server,Server,0,0,17084.1,0,-853,0,-17913,1003,27.65%,3627,51,1138,175,0,3308,594,1,15.38%,17.96%,0.048249242,4.95E-05,20.19776678,105,-0.01905,-1.92%,-828.9,75,928,1003,T,F,SELL FIRST AND THEN BUY LATER to make profit (when Stock price is going to DECREASE towards the end of the day),2,4,4,3,2,4,4,3,4,3,4,2,2,3,4,4,3,4,3,3,3,4,3,4,4,3,3,3,3,2,0,97
S7C414T,S7,C414T,20.5,8,12:59:15,12560,20.5,20.1,Server,Server,0,10,14700.10028,164,-728,-8,-14924,3782,85.97%,4399,145,788,108,0,4838,2559,1,13.71%,52.89%,0.024551034,0.00012024,20.14516944,164,0,0.00%,-223.899721,1527,2255,3782,T,M,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),4,2,4,3,3,3,4,1,3,3,4,3,4,4,4,3,4,3,3,4,3,3,4,4,3,3,3,3,3,3,0,98
S7C314T,S7,C314T,20.2,32,12:57:35,12457,20.2,19.9,Server,Server,0,0,6938.39995,0,-344,0,-6948.8,742,23.68%,3134,30,888,50,0,2406,428,1,5.63%,17.79%,0.015954052,5.68E-05,20.24416083,646.4,-0.00495,-0.50%,-10.40005,199,543,742,T,M,SELL FIRST AND THEN BUY LATER to make profit (when Stock price is going to DECREASE towards the end of the day),4,3,2,2,2,4,4,2,4,4,4,2,3,2,3,2,3,2,3,3,4,4,4,4,3,3,3,3,3,4,1,94
S7C214T,S7,C214T,20.5,20,12:45:16,11718,20.5,20.2,Server,Server,0,0,-197.499985,0,11,0,225.5,251,11.12%,2258,23,788,69,0,1546,10,1,8.76%,0.65%,0.030558016,2.86E-06,20.19977857,410,0.00488,0.49%,28.000015,131,120,251,T,F,SELL FIRST AND THEN BUY LATER to make profit (when Stock price is going to DECREASE towards the end of the day),2,3,4,4,4,3,3,2,4,4,4,5,4,4,4,5,5,5,5,4,5,2,2,3,4,4,4,3,3,4,0,112
S7C1914,S7,C1914,20.3,5,12:55:21,12321,21,20.300001,Server,Server,0,10,3245.70005,101.5,-157,-5,-3187.1,207,7.93%,2611,16,828,20,0,2078,152,1,2.42%,7.31%,0.0076599,2.80E-05,20.28563774,101.5,0.00985,0.98%,58.60005,25,182,207,T,F,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),4,1,5,2,4,5,1,1,4,4,5,3,4,3,3,5,5,4,3,4,2,4,3,4,5,4,3,4,3,4,0,106
S7C1714,S7,C1714,21,5,12:59:17,12562,21,20.9,Server,Server,10,0,4093.500018,-105,-202,5,-4242,958,30.17%,3175,45,1348,287,0,1842,213,1,21.29%,11.56%,0.090393701,3.64E-05,20.27278746,105,0,0.00%,-148.499982,378,580,958,T,M,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),1,2,4,4,1,3,4,1,3,4,4,3,3,1,4,2,2,2,2,4,4,2,3,4,3,3,4,4,4,3,0,88
S7C1614,S7,C1614,21,12,12:51:51,12114,20.9,19.9,Server,Server,0,0,11582.90003,0,-575,0,-12075,605,19.64%,3080,37,938,75,0,2394,275,1,8.00%,11.49%,0.024350649,3.73E-05,20.20535723,252,-0.00476,-0.48%,-492.099975,15,590,605,T,F,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),1,5,4,4,2,4,3,3,4,2,5,3,4,3,4,4,4,4,4,4,5,2,2,4,1,5,5,4,4,2,0,105
S7C1514,S7,C1514,20.9,65,12:51:40,12103,20.9,20.1,Server,Server,0,10,2379.200035,1358.5,-111,-65,-2319.9,903,28.83%,3132,44,1860,297,0,2210,447,1,15.97%,20.23%,0.094827586,6.46E-05,20.32171142,1358.5,0.00478,0.48%,59.300035,396,507,903,T,M,SELL FIRST AND THEN BUY LATER to make profit (when Stock price is going to DECREASE towards the end of the day),2,2,4,4,3,3,3,3,3,3,3,3,4,3,4,4,4,2,2,3,3,3,4,4,3,3,4,3,3,4,0,96
S7C1414,S7,C1414,21,10,12:58:58,12540,20.9,20.7,Server,Server,0,0,6363.200141,0,-309,0,-6489,907,29.37%,3088,35,948,199,0,2750,334,1,20.99%,12.15%,0.064443005,3.93E-05,20.26836146,210,-0.00476,-0.48%,-125.799859,299,608,907,T,M,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),2,3,2,2,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,3,3,4,4,4,4,4,4,1,86
S7C1214,S7,C1214,21,11,12:58:01,12484,20.9,20.7,Server,Server,0,0,1215.00004,0,-60,0,-1260,580,19.06%,3043,34,968,125,0,2832,215,1,12.91%,7.59%,0.041077884,2.49E-05,20.27180415,231,0,0.00%,-44.99996,260,320,580,T,F,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),2,4,3,4,2,5,3,2,4,3,4,4,3,2,3,3,4,4,2,4,4,3,4,4,4,3,4,4,4,2,0,101
S7C114T,S7,C114T,19.9,20,10:39:50,4193,20.2,19.9,Server,Server,0,0,-931.3,0,47,0,935.3,151,30.14%,501,7,892,116,0,0,0,0,13.00%,#DIV/0!,0.231536926,#DIV/0!,20.01377246,398,0,0.00%,4,99,52,151,T,M,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),3,3,3,2,4,2,2,4,2,3,3,2,2,2,3,3,5,5,5,2,2,3,4,4,2,2,4,2,2,3,0,88
S7C1014,S7,C1014,21,10,12:57:20,12443,20.5,20.300001,Server,Server,0,0,2425,0,-117,0,-2457,469,15.35%,3055,25,1158,116,0,2370,189,1,10.02%,7.97%,0.03797054,2.61E-05,20.32245503,210,-0.02381,-2.41%,-32,176,293,469,T,M,SELL FIRST AND THEN BUY LATER to make profit (when Stock price is going to DECREASE towards the end of the day),5,1,1,1,1,5,5,1,4,4,4,1,1,1,1,1,1,1,1,2,3,3,3,1,5,3,3,3,3,3,0,72
S6C914T,S6,C914T,21,11,12:51:25,12088,20.9,20.5,Server,Server,0,0,-2820.00006,0,132,0,2772,732,23.98%,3052,44,1674,329,0,1910,128,1,19.65%,6.70%,0.107798165,2.20E-05,20.32604857,231,0,0.00%,-48.00006,432,300,732,T,M,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),2,4,4,3,2,3,3,2,4,4,4,3,4,4,3,3,4,4,4,4,3,3,4,3,3,3,3,3,3,3,0,99
S6C814T,S6,C814T,20.9,5,12:59:37,12580,20.9,19.9,Server,Server,0,10,8221.20007,104.5,-407,-5,-8506.3,987,28.62%,3449,50,1708,277,0,2596,500,1,16.22%,19.26%,0.080313134,5.58E-05,20.22577564,104.5,0.00478,0.48%,-285.09993,290,697,987,T,F,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),2,4,4,4,2,3,4,2,3,3,4,4,4,4,4,4,4,2,2,4,3,3,3,4,4,4,4,4,4,3,1,104
S6C714T,S6,C714T,21,13,12:59:20,12564,21,20.800001,Server,Server,10,0,131.2,-273,-10,13,-210,588,17.92%,3282,45,1856,398,0,2266,147,1,21.44%,6.49%,0.12126752,1.98E-05,20.26962221,273,0,0.00%,-78.8,289,299,588,T,F,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),1,4,4,4,1,5,4,1,3,3,3,2,3,2,3,3,4,3,3,4,3,2,5,5,5,5,3,3,3,5,1,100
S6C414T,S6,C414T,20.9,43,12:58:24,12508,20.9,20.2,Server,Server,0,0,15655.39984,0,-775,0,-16197.5,1499,35.49%,4224,61,2016,431,0,3190,487,1,21.38%,15.27%,0.102035985,3.61E-05,20.19053044,898.7,0.00478,0.48%,-542.100164,362,1137,1499,T,F,SELL FIRST AND THEN BUY LATER to make profit (when Stock price is going to DECREASE towards the end of the day),4,1,4,2,2,4,4,1,5,2,4,4,4,2,4,4,3,2,2,3,4,2,3,4,4,4,4,3,3,2,0,94
S6C314T,S6,C314T,20.2,2,12:57:58,12483,21,20.800001,Server,Server,0,10,6382.000114,40.4,-310,-2,-6262,1110,33.08%,3356,57,1368,230,0,2832,446,1,16.81%,15.75%,0.068533969,4.69E-05,20.32288447,40.4,0.0297,2.93%,120.000114,400,710,1110,T,F,SELL FIRST AND THEN BUY LATER to make profit (when Stock price is going to DECREASE towards the end of the day),2,4,4,4,1,5,3,3,4,4,4,2,3,1,1,5,5,5,5,5,3,3,4,4,5,5,5,5,5,4,0,113
S6C214T,S6,C214T,21,17,12:57:36,12461,20.9,20.800001,Server,Server,0,0,-1565.200018,0,65,0,1365,2643,65.10%,4060,104,2334,610,0,2472,1027,1,26.14%,41.55%,0.150246305,0.000102328,20.3840888,357,0,0.00%,-200.200018,1354,1289,2643,T,F,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),4,3,4,3,4,5,1,1,3,3,5,4,4,2,4,4,4,4,4,3,3,3,4,3,2,4,3,3,4,3,0,101
S6C2014,S6,C2014,20.6,13,12:59:46,12587,20.6,20.300001,Server,Server,0,0,10733.60031,0,-525,0,-10815,959,30.91%,3103,57,926,113,0,2638,490,1,12.20%,18.57%,0.036416371,5.99E-05,20.23609424,267.8,0.00485,0.48%,-81.399688,217,742,959,T,F,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),4,1,2,3,3,4,4,2,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,114
S6C1914,S6,C1914,20.9,15,12:51:05,12068,20.4,20.1,Server,Server,0,0,4963.800099,0,-244,0,-5099.6,386,13.73%,2812,26,940,76,0,1964,219,1,8.09%,11.15%,0.027027027,3.97E-05,20.26795883,313.5,0.00478,0.48%,-135.799901,71,315,386,T,M,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),4,4,4,4,3,4,4,2,5,5,3,4,3,4,5,2,2,3,2,4,4,3,3,4,4,4,4,4,4,3,0,108
S6C1714,S6,C1714,20.1,6,12:57:07,12431,21,20.800001,Server,Server,0,10,5937.300049,120.6,-288,-6,-5788.8,926,29.65%,3123,44,1148,111,0,2060,419,1,9.67%,20.34%,0.035542747,6.51E-05,20.29385213,120.6,-0.00498,-0.50%,148.500049,319,607,926,T,M,SELL FIRST AND THEN BUY LATER to make profit (when Stock price is going to DECREASE towards the end of the day),3,4,4,4,4,3,2,1,3,3,3,4,3,2,4,3,3,3,3,4,4,3,4,4,4,3,3,4,4,2,0,98
S6C1614,S6,C1614,21.1,25,12:55:27,12332,20.7,19.9,Server,Server,0,0,1924.50005,0,-102,0,-2152.2,2756,61.63%,4472,97,1954,412,0,2746,719,1,21.09%,26.18%,0.092128801,5.86E-05,20.25711093,527.5,-0.01896,-1.91%,-227.69995,1327,1429,2756,T,F,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),2,5,4,3,4,5,5,2,5,4,4,4,4,3,4,4,4,4,4,4,4,3,5,4,5,4,4,4,4,4,1,120
S6C1514,S6,C1514,21,8,12:58:21,12503,20.7,20.5,Server,Server,0,0,5208.700072,0,-253,0,-5313,563,18.92%,2975,80,836,42,0,2618,264,1,5.02%,10.08%,0.014117647,3.39E-05,20.2986891,168,-0.01429,-1.44%,-104.299928,155,408,563,T,M,SELL FIRST AND THEN BUY LATER to make profit (when Stock price is going to DECREASE towards the end of the day),1,5,2,5,1,5,1,1,2,2,5,3,4,3,5,4,2,4,2,3,4,2,4,5,5,4,3,3,3,5,0,98
S6C1414,S6,C1414,20.5,19,12:57:53,12476,20.5,20.300001,Server,Server,0,0,1206.899902,0,-63,0,-1291.5,1157,32.62%,3547,50,1480,331,0,3016,388,1,22.36%,12.86%,0.093318297,3.63E-05,20.2472796,389.5,0.02439,2.41%,-84.600098,547,610,1157,T,M,SELL FIRST AND THEN BUY LATER to make profit (when Stock price is going to DECREASE towards the end of the day),5,3,3,4,2,1,1,5,5,2,5,4,3,2,5,1,1,1,1,3,4,1,2,3,5,5,3,3,3,3,0,89
S6C1214,S6,C1214,20.2,20,12:58:52,12534,21.1,20.2,Server,Server,0,10,-785.69998,404,37,-20,747.4,1201,34.21%,3511,56,1608,450,0,2724,456,1,27.99%,16.74%,0.128168613,4.77E-05,20.29601255,404,0.0099,0.99%,-38.29998,619,582,1201,T,F,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),5,3,4,5,1,5,4,1,4,2,4,4,4,2,5,5,5,4,4,4,5,2,2,4,5,4,4,3,4,5,0,113
S6C114T,S6,C114T,20.8,10,12:56:41,12402,21,20.800001,Server,Server,0,10,10013.39997,208,-520,-10,-10816,1894,46.71%,4055,97,1834,480,0,1400,155,1,26.17%,11.07%,0.11837238,2.73E-05,20.16416773,208,0.00962,0.96%,-802.600034,687,1207,1894,T,M,SELL FIRST AND THEN BUY LATER to make profit (when Stock price is going to DECREASE towards the end of the day),2,2,4,4,2,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,2,4,4,4,4,4,0,104
S6C1014,S6,C1014,21,20,12:51:20,12084,21,20.4,Server,Server,10,0,186.699982,-420,-12,20,-252,568,20.10%,2826,44,1018,115,0,1962,345,1,11.30%,17.58%,0.04069356,6.22E-05,20.31291582,420,0,0.00%,-65.300018,278,290,568,T,M,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),2,3,4,4,2,4,4,1,3,3,3,4,4,4,4,4,2,4,2,2,2,2,2,4,3,3,3,3,2,5,1,93
S5C914T,S5,C914T,21.2,7,12:59:52,12595,21.1,20.7,Server,Server,10,0,-2210.1,-148.4,90,7,1908,630,18.76%,3359,25,1558,180,0,2618,360,1,11.55%,13.75%,0.053587377,4.09E-05,20.33512952,148.4,-0.00472,-0.47%,-302.1,360,270,630,T,F,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),2,3,3,1,2,3,4,2,4,4,4,3,3,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,0,103
S5C714T,S5,C714T,20.5,10,12:58:27,12511,21,20.5,Server,Server,0,10,2276.4,205,-115,-10,-2357.5,893,26.84%,3327,51,1510,376,0,1908,136,1,24.90%,7.13%,0.113014728,2.14E-05,20.27087473,205,0.02439,2.41%,-81.1,389,504,893,T,F,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),3,4,4,4,2,2,3,2,5,3,4,4,5,2,4,5,4,4,3,3,5,2,3,4,3,2,5,3,3,4,0,104
